station,name,longitude,latitude,location,rating
7 Sutton Lane,Pizza da Marco,-0.534806,51.489517,"Ditton Rd, Slough, Berkshire, SL3 8PT",0.0
7 Sutton Lane,Toby Carvery,-0.534806,51.489517,"399 London Rd, Slough, SL3 8PS",5.2
8 Yarmouth Road,Priestley Bakers,-0.616663,51.519919,"121 Windsor House Yarmouth Rd, Slough, SL1 4HY",0.0
8 Yarmouth Road,McDonald's,-0.616663,51.519919,"Buckingham Ave/Bestobell Rd, Slough, SL1 4PN",5.4
8 Yarmouth Road,Tops Pizza,-0.616663,51.519919,"222 Farnham Rd, Slough, SL1 4XE",0.0
8 Yarmouth Road,KFC,-0.616663,51.519919,"Farnham Rd (Edinburgh Av), Slough, Berkshire, SL1 4UN",5.3
8 Yarmouth Road,German Doner Kebab,-0.616663,51.519919,"248 Farnham Rd, Slough, Berkshire, SL1 4XE",0.0
8 Yarmouth Road,Chicken Delite,-0.616663,51.519919,"238 Farnham Rd, Slough, Berkshire, SL1 4XE",0.0
8 Yarmouth Road,Exotic Karahi,-0.616663,51.519919,"262-264 Farnham Rd, Colnbrook with Poyle, Berkshire, SL1 4XL",6.1
8 Yarmouth Road,Greggs,-0.616663,51.519919,"171 Buckingham Ave (171 Buckingham Av), Slough, Berkshire, SL1 4RD",6.9
8 Yarmouth Road,Subway,-0.616663,51.519919,"Al Shaheer Halal Foods Pvt, Slough, SL1 4XL",6.4
8 Yarmouth Road,Ann's Pantry,-0.616663,51.519919,"34 Buckingham Ave, Slough, SL1 4QA",0.0
9 Bath Road Shopping Centre,McDonald's,-0.635472,51.520432,"Bath Rd Retail Park, Slough, Berkshire, SL1 4DX",5.2
9 Bath Road Shopping Centre,Greggs,-0.635472,51.520432,"171 Buckingham Ave (171 Buckingham Av), Slough, Berkshire, SL1 4RD",6.9
9 Bath Road Shopping Centre,Subway,-0.635472,51.520432,"23B Buckingham Ave, Slough, SL1 4QA",5.3
9 Bath Road Shopping Centre,Pizza & Kebab Express,-0.635472,51.520432,"406 Bath Rd, Slough, SL1 6JA",0.0
9 Bath Road Shopping Centre,KFC,-0.635472,51.520432,"409 Bath Rd, Slough, Berkshire, SL1 5QL",5.9
