station,name,longitude,latitude,location,rating
14 Wexham Road,Royal Capital,-0.57820873,51.518459,"['104 Knolton Way', 'Slough SL2 5TL', 'United Kingdom']",0.0
16 Langley,Millionaires Punjabi Cuisine,-0.54318756,51.507257,"['62 Station Road', 'Langley', 'Slough SL3 8BT', 'United Kingdom']",0.0
16 Langley,Jacks,-0.54318756,51.507257,"['16 Harrow Market', 'Slough SL3 8HJ', 'United Kingdom']",0.0
16 Langley,Nick's Fish and Chips,-0.54318756,51.507257,"['16 Harrow Market', 'Slough SL3 8HJ', 'United Kingdom']",0.0
16 Langley,Pizza Bien Manger,-0.54318756,51.507257,"['254 Tralawney Avenue', 'Colnbrook with Poyle SL3 7UD', 'United Kingdom']",0.0
16 Langley,Oriental Express,-0.54318756,51.507257,"['266 High Street', 'Langley', 'Slough SL3 8HD', 'United Kingdom']",0.0
16 Langley,Subway,-0.54318756,51.507257,"['250 High Street', 'Langley', 'Slough SL3 8HA', 'United Kingdom']",0.0
16 Langley,Langley Fish & Chips,-0.54318756,51.507257,"['258 High Street', 'Langley', 'Slough SL3 8HA', 'United Kingdom']",0.0
16 Langley,G T Road,-0.54318756,51.507257,"['260 Trelawney Avenue', 'Slough SL3 7UD', 'United Kingdom']",0.0
16 Langley,Loon Tin,-0.54318756,51.507257,"['33 Willoughby Road', 'Slough SL3 8JH', 'United Kingdom']",0.0
16 Langley,Kinara Restaurant,-0.54318756,51.507257,"['286 High Street', 'Langley', 'Slough SL3 8HF', 'United Kingdom']",0.0
16 Langley,Lotus Kitchen,-0.54318756,51.507257,"['98a Meadfield Road', 'Slough SL3 8HR', 'United Kingdom']",0.0
16 Langley,China Town,-0.54318756,51.507257,"['250 Trelawney Avenue', 'Slough SL3 7UD', 'United Kingdom']",0.0
17 Wexham Hospital,The Red Lion,-0.5767782,51.532348,"['Stoke Green', 'Stoke Poges', 'Slough SL2 4HN', 'United Kingdom']",4.0
17 Wexham Hospital,The Garden Room,-0.5767782,51.532348,"['Stoke Place', 'Stoke Green', 'Stoke Poges SL2 4HT', 'United Kingdom']",4.0
1 Slough Train Station,Krispy Kreme,-0.59156182,51.51135,"Tesco Extra Brunel Way (Wellington St), Slough, Berkshire, SL1 1XW",7.1
1 Slough Train Station,The Soul Deli,-0.59156182,51.51135,"The Porter Building, Brunel Way, Slough, Berkshire",0.0
1 Slough Train Station,The Cafe,-0.59156182,51.51135,"A4 Brunel Way, Slough, SL1 1XW",0.0
1 Slough Train Station,KFC,-0.59156182,51.51135,"The Queensmere Centre, Slough, Berkshire, SL1 1DG",5.9
1 Slough Train Station,Greggs,-0.59156182,51.51135,"1 Mackenzie St, Slough, Berkshire, SL1 1XQ",6.4
1 Slough Train Station,Roosters Piri Piri,-0.59156182,51.51135,"88-90 High St, Slough, Berkshire, SL1 1EL",6.8
1 Slough Train Station,PizzaExpress,-0.59156182,51.51135,"80 High St, Slough, SL1 1EL",6.6
1 Slough Train Station,Ali's Fish & Chips,-0.59156182,51.51135,,0.0
1 Slough Train Station,Unofficial M&S Lunch Bench,-0.59156182,51.51135,,0.0
1 Slough Train Station,Jerry's Pizza,-0.59156182,51.51135,"66 High St, Slough, SL1 1EL",0.0
2 Burnham Train Station,Roll With It,-0.6452942,51.523823,"Lower Car Park, Burnham Railway Station",0.0
2 Burnham Train Station,Pizza 4 U,-0.6452942,51.523823,,0.0
2 Burnham Train Station,Pizza & Kebab Express,-0.6452942,51.523823,"406 Bath Rd, Slough, SL1 6JA",0.0
2 Burnham Train Station,China Kitchen,-0.6452942,51.523823,"405 Bath Rd, Slough, SL1 5QL",0.0
2 Burnham Train Station,Kai's Restaurant,-0.6452942,51.523823,"467 Bath Rd, Colnbrook with Poyle, Berkshire, SL1 6AA",0.0
2 Burnham Train Station,Rocky's Slough,-0.6452942,51.523823,"158 Burnham Lane, Slough, Berkshire, SL1 6LE",0.0
2 Burnham Train Station,Burnham Fish & Chips,-0.6452942,51.523823,"164 Burnham Lane, Colnbrook with Poyle, Berkshire, SL1 6LE",0.0
3 Slough Trading Estate,The king and i,-0.62563661,51.516508,"Bath Rd, Colnbrook with Poyle, Berkshire",0.0
3 Slough Trading Estate,Thyme,-0.62563661,51.516508,"40 Liverpool Rd, Slough, Berkshire, SL1 4QZ",0.0
3 Slough Trading Estate,Papa Johns Pizza,-0.62563661,51.516508,"Buckingham Ave, Slough, SL1 4PG",0.0
3 Slough Trading Estate,Ann's Pantry,-0.62563661,51.516508,"34 Buckingham Ave, Slough, SL1 4QA",0.0
3 Slough Trading Estate,J K's Fish & Chips,-0.62563661,51.516508,"8 Stoney Meade, Slough, Berkshire, SL1 2YL",0.0
3 Slough Trading Estate,Wokhei Limited,-0.62563661,51.516508,"Slough, SL1 1XQ",0.0
3 Slough Trading Estate,Priestley Bakers,-0.62563661,51.516508,"121 Windsor House Yarmouth Rd, Slough, SL1 4HY",0.0
4 Slough Council,Salt Hill Cafe,-0.607722,51.510629,"Salt Hill Park (Bath Rd.), Slough",0.0
4 Slough Council,Kashmiri Karahi,-0.607722,51.510629,"Salt Hill Park (Bath Rd), Slough, SL1 3SR",5.3
4 Slough Council,Domino's Pizza,-0.607722,51.510629,"115 Bath Rd, Slough, SL1 3UW",6.4
4 Slough Council,3 Tans Cafe,-0.607722,51.510629,"109 Bath Rd, Slough, SL1 3UW",0.0
4 Slough Council,Ambala,-0.607722,51.510629,,0.0
