station,name,longitude,latitude,location,rating
9 Bath Road Shopping Centre,Giovani's,-0.635472,51.520432,"['136 Lower Cippenham Lane', 'Slough SL1 5EA', 'United Kingdom']",3.0
9 Bath Road Shopping Centre,K Takeaway,-0.635472,51.520432,"['127 Earls Lane', 'Slough SL1 5TD', 'United Kingdom']",4.0
9 Bath Road Shopping Centre,The Source,-0.635472,51.520432,"['875 Plymouth Road', 'Sl1 4lp', 'Slough SL1', 'United Kingdom']",1.0
10 Chalvey High Street,Mori Japanese Restaurant,-0.60676999,51.506562,"['70 High Street', 'Slough SL1 1EL', 'United Kingdom']",4.0
10 Chalvey High Street,Tang's,-0.60676999,51.506562,"['Unit N77', 'Queensmere Shopping High Street', 'Slough SL1 2TW', 'United Kingdom']",4.0
10 Chalvey High Street,The Chip Box,-0.60676999,51.506562,"['39 Stoke Road', 'Slough SL2 5AH', 'United Kingdom']",4.5
10 Chalvey High Street,Slough Kebabs,-0.60676999,51.506562,"['111 Bath Road', 'Slough SL1 3UW', 'United Kingdom']",4.5
10 Chalvey High Street,Caribbean Experience,-0.60676999,51.506562,"['41 Stoke Road', 'Slough SL2 5AH', 'United Kingdom']",4.5
10 Chalvey High Street,Milano Pizza,-0.60676999,51.506562,"['16 High Street', 'Slough SL1 1EQ', 'United Kingdom']",3.0
10 Chalvey High Street,Pizza Express Restaurants,-0.60676999,51.506562,"['80 High Street', 'Slough SL1 1EL', 'United Kingdom']",4.0
10 Chalvey High Street,Khyber Pass,-0.60676999,51.506562,"['3 Church Street', 'Slough SL1 1PQ', 'United Kingdom']",3.0
10 Chalvey High Street,Prestige,-0.60676999,51.506562,"['117 High Street', 'Slough SL1 1DH', 'United Kingdom']",3.5
10 Chalvey High Street,Pro Tuga,-0.60676999,51.506562,"['High Street', 'Slough SL1 1LN', 'United Kingdom']",2.0
10 Chalvey High Street,Burger King,-0.60676999,51.506562,"['150 High Street', 'Slough SL1 1JP', 'United Kingdom']",2.5
10 Chalvey High Street,Pizza Express Restaurants,-0.60676999,51.506562,"['80 High Street', 'Slough SL1 1EL', 'United Kingdom']",1.0
10 Chalvey High Street,Pizza GoGo,-0.60676999,51.506562,"['82 Bath Road', 'Slough SL1 3SR', 'United Kingdom']",1.0
10 Chalvey High Street,Cafe 3G,-0.60676999,51.506562,"['261 High Street', 'Slough SL1 1BN', 'United Kingdom']",2.0
11 Britwell,Jimmys Kebabs,-0.63102588,51.531906,"['53 Wentworth Avenue', 'Slough SL2 2DS', 'United Kingdom']",0.0
11 Britwell,Britwell Fish Shop,-0.63102588,51.531906,"['49 Wentworth Avenue', 'Slough SL2 2DS', 'United Kingdom']",0.0
11 Britwell,Ming Chinese,-0.63102588,51.531906,"['254 Scafell Road', 'Slough SL2 1TZ', 'United Kingdom']",0.0
11 Britwell,Balboas,-0.63102588,51.531906,"['263 Farnham Road', 'Slough SL2 1HA', 'United Kingdom']",3.5
11 Britwell,Royal Village Indian Take Away,-0.63102588,51.531906,"['57 Wentworth Avenue', 'Slough SL2 2DS', 'United Kingdom']",0.0
11 Britwell,Tandoori Express,-0.63102588,51.531906,"['57 Wentworth Avenue', 'Slough SL2 2DS', 'United Kingdom']",0.0
11 Britwell,Darwins Deli,-0.63102588,51.531906,"['911 Yeovil Road', 'Slough SL1 4JG', 'United Kingdom']",0.0
11 Britwell,New Garden,-0.63102588,51.531906,"['75 Wentworth Avenue', 'Slough SL2 2DS', 'United Kingdom']",0.0
11 Britwell,Ming Takeaway,-0.63102588,51.531906,"['Scafell Road', 'Slough SL2 1TZ', 'United Kingdom']",0.0
11 Britwell,The Source,-0.63102588,51.531906,"['875 Plymouth Road', 'Sl1 4lp', 'Slough SL1', 'United Kingdom']",1.0
11 Britwell,Seven Oceans,-0.63102588,51.531906,"['410 Farnham Road', 'Slough SL2 1JA', 'United Kingdom']",0.0
12 Windsor Road,Mori Japanese Restaurant,-0.59673975,51.507274,"['70 High Street', 'Slough SL1 1EL', 'United Kingdom']",4.0
12 Windsor Road,Steakout,-0.59673975,51.507274,"['295-297 High Street', 'Slough SL1 1BD', 'United Kingdom']",4.0
12 Windsor Road,The Chip Box,-0.59673975,51.507274,"['39 Stoke Road', 'Slough SL2 5AH', 'United Kingdom']",4.5
